ir,red
116046,100807
115986,100759
116001,100710
116007,100770
116025,100768
115959,100776
115902,100745
115924,100704
115992,100752
115990,100760
115995,100753
115991,100734
115933,100712
115985,100751
116022,100777
115983,100786
115982,100750
116031,100752
116110,100798
116119,100813
116131,100804
116165,100808
116100,100794
116231,100831
116235,100861
116317,100868
116315,100851
116298,100846
116358,100917
116405,100940
116445,100965
116477,100931
116500,100948
116575,100965
116595,100995
116638,101019
116620,101004
116646,101000
116716,101039
116788,101058
116787,101048
116773,101033
116829,101034
116871,101142
116923,101126
116939,101134
116953,101103
116949,101090
117049,101174
117103,101179
117114,101220
117106,101193
117125,101171
117222,101229
117228,101240
117223,101221
117235,101198
117280,101254
117361,101277
117387,101302
117370,101296
117413,101292
117393,101281
117466,101325
117532,101373
117541,101334
117518,101301
117525,101335
117590,101409
117642,101379
117612,101366
117615,101358
117622,101362
117716,101444
117727,101435
117687,101420
117677,101392
117698,101434
117803,101485
117800,101471
117790,101459
117814,101438
117788,101430
117868,101503
117870,101492
117901,101476
117892,101478
117916,101471
117959,101557
118004,101532
118019,101540
118030,101505
118000,101531
118088,101549
118147,101581
118153,101584
118104,101540
118176,101607
118231,101623
118212,101615
118218,101579
118154,101544
118118,101547
118070,101528
117867,101461
117662,101346
117344,101208
117088,101117
116804,101011
116445,100872
116131,100736
115870,100601
115644,100534
115490,100480
115316,100413
115152,100335
114994,100246
114932,100249
114854,100250
114762,100185
114616,100130
114503,100061
114509,100104
114515,100086
114452,100057
114467,100096
114420,100027
114441,100076
114484,100089
114481,100090
114529,100130
114549,100108
114613,100135
114677,100190
114687,100173
114764,100205
114764,100200
114877,100244
114940,100270
114991,100287
114999,100297
114974,100317
115087,100353
115174,100381
115227,100403
115223,100404
115269,100369
115328,100426
115395,100460
115415,100456
115439,100456
115438,100429
115477,100489
115534,100539
115560,100533
115613,100506
115550,100501
115667,100569
115708,100562
115748,100594
115786,100600
115842,100607
115955,100690
116020,100699
116106,100751
116123,100750
116204,100741
116284,100850
116392,100900
116495,100875
116473,100875
116527,100890
116612,100953
116687,100980
116684,100987
116718,100960
116690,100935
116745,100987
116787,100979
116752,100958
116751,101001
116737,100953
116756,101005
116757,100991
116776,100982
116750,100953
116688,100904
116748,100974
116787,100984
116739,100956
116711,100948
116713,100939
116771,100984
116780,100984
116792,100982
116760,100988
116789,100946
116860,101025
116862,101031
116894,101011
116884,101031
116896,101031
116963,101069
117022,101098
117049,101080
117044,101068
117064,101077
117146,101149
117173,101172
117225,101177
117257,101171
117284,101175
117348,101233
117393,101226
117439,101273
117453,101278
117478,101267
117591,101312
117646,101334
117634,101339
117699,101359
117746,101349
117804,101398
117870,101421
117900,101438
117950,101426
117989,101439
118042,101471
118076,101497
118130,101527
118150,101519
118162,101508
