ir,red
106588,96924
106605,96958
106548,96962
106627,96962
106787,97066
106860,97117
106824,97091
106820,97047
106920,97097
107056,97186
107027,97203
107066,97154
107001,97151
107004,97176
107143,97257
107140,97259
107146,97224
107057,97136
107117,97169
107214,97245
107231,97270
107141,97253
107064,97152
107080,97234
107221,97255
107207,97254
107107,97214
107064,97108
107114,97173
107161,97276
107089,97240
107079,97179
107075,97113
107057,97204
107167,97202
107131,97253
107106,97163
107064,97131
107110,97228
107189,97207
107158,97280
107133,97192
107073,97164
107102,97209
107265,97254
107188,97282
107230,97243
107138,97213
107258,97244
107265,97336
107336,97322
107311,97322
107214,97245
107336,97285
107473,97357
107465,97358
107510,97335
107363,97344
107543,97365
107582,97467
107641,97409
107630,97469
107585,97344
107684,97421
107802,97529
107793,97481
107830,97524
107731,97471
107877,97542
107941,97618
107957,97533
107959,97602
107932,97498
108056,97624
108098,97695
108120,97638
108081,97611
108091,97571
108148,97700
108242,97743
108208,97688
108287,97740
108172,97669
108345,97757
108379,97789
108405,97796
108357,97764
108294,97742
108458,97845
108529,97815
108561,97882
108519,97824
108499,97804
108638,97850
108694,97908
108705,97884
108696,97953
108678,97853
108806,97979
108850,98033
108828,97979
108795,97977
108745,97882
108952,97996
108984,98084
108942,98064
108967,97999
108877,97994
109006,98004
109049,98116
109007,98004
108952,98047
108823,97912
108894,98004
108808,97908
108682,97829
108518,97771
108230,97673
108281,97690
108132,97659
107952,97551
107797,97404
107580,97354
107558,97338
107454,97320
107359,97251
107245,97140
107038,97048
107075,97110
106931,97071
106815,97025
106779,96943
106569,96890
106632,96900
106603,96962
106579,96882
106439,96871
106311,96743
106440,96888
106424,96856
106324,96823
106300,96763
106225,96745
106335,96860
106337,96859
106299,96828
106258,96793
106228,96803
106329,96823
106411,96908
106339,96871
106284,96851
106269,96800
106467,96905
106469,96980
106434,96884
106411,96914
106390,96834
106562,96967
106589,96991
106571,97014
106573,96938
106528,96997
106655,97067
106742,97096
106807,97108
106764,97095
106838,97057
106908,97187
107043,97228
107089,97190
107045,97234
107113,97204
107193,97341
107307,97382
107271,97296
107244,97298
107315,97297
107432,97353
107464,97455
107436,97367
107457,97378
107400,97316
107527,97417
107606,97443
107484,97424
107507,97359
107412,97345
107586,97397
107542,97432
107570,97415
107463,97380
107492,97391
107568,97457
107607,97432
107534,97403
107459,97337
107490,97318
107604,97470
107629,97398
107609,97384
107549,97402
107505,97410
107615,97423
107655,97480
107633,97463
107562,97416
107590,97416
107735,97472
107835,97510
107759,97476
107744,97474
107740,97443
107910,97583
107892,97608
107925,97540
107904,97545
108000,97567
108095,97678
108110,97640
108129,97652
108149,97591
108203,97656
108366,97766
108390,97808
108423,97741
108351,97715
108532,97789
108663,97868
108694,97903
108711,97892
108637,97882
108763,97881
108912,98042
108962,98029
108947,98051
108924,97986
109095,98051
109156,98130
109227,98125
109232,98091
109243,98067
109347,98135
109420,98278
109503,98229
109489,98293
109490,98210
109583,98316
109741,98348
109699,98347
109785,98344
109695,98339
109831,98419
109897,98465
110033,98462
109992,98505
110001,98454
110075,98473
110287,98626
110233,98609
110244,98577
110236,98535
110382,98619
110424,98745
110444,98695
110449,98655
110438,98626
110520,98690
110617,98792
110554,98722
110641,98745
110534,98676
110645,98797
110707,98795
110611,98785
110589,98691
110387,98629
110414,98665
110308,98601
110128,98488
109876,98381
109581,98161
109436,98121
109251,98079
108952,97967
108724,97789
108500,97677
108417,97672
108294,97630
108196,97588
108052,97449
107847,97410
107847,97391
107848,97439
107719,97371
107589,97286
107459,97186
107506,97292
107485,97269
107452,97220
107398,97200
107236,97133
107289,97183
107329,97193
107310,97164
107217,97188
107122,97118
107270,97169
107256,97204
107315,97212
107225,97200
107191,97089
107346,97180
107363,97288
107321,97262
107348,97196
107299,97208
107416,97266
107425,97316
107464,97267
107444,97322
107411,97247
107529,97383
107553,97366
107631,97402
107609,97340
107630,97336
107767,97477
107856,97542
107822,97458
107906,97525
107846,97514
108015,97633
108135,97644
108160,97633
108212,97663
108169,97616
108328,97773
108423,97763
108369,97785
108392,97766
108373,97693
108524,97804
108543,97859
108516,97829
108426,97789
108425,97717
108472,97845
108520,97822
108451,97796
108443,97746
108345,97676
108489,97765
108462,97765
108435,97723
108410,97695
108291,97657
108447,97798
108382,97763
108389,97744
108278,97709
108307,97654
108400,97727
108425,97796
108312,97757
108366,97668
108232,97703
108358,97779
108372,97774
108355,97763
108373,97663
108326,97744
108419,97788
108492,97773
108494,97757
108444,97753
108474,97752
108499,97821
108581,97858
108608,97867
108544,97826
108562,97854
108712,97869
108741,97966
108709,97936
108674,97852
108705,97927
108841,97923
108916,98033
108856,97964
108848,97949
108878,97931
109030,98041
109025,98091
108991,98061
109006,98010
109010,98019
109161,98108
109219,98149
109172,98128
109133,98068
109218,98091
109361,98221
109346,98189
109393,98172
109329,98185
109375,98225
109503,98230
109534,98323
109568,98288
109498,98247
109550,98261
109675,98393
109735,98342
109733,98363
109669,98339
109719,98374
109892,98423
109826,98477
109898,98419
109808,98420
109902,98429
109960,98523
110030,98532
109975,98466
110011,98453
110027,98510
110139,98606
110117,98579
110131,98524
110101,98534
110156,98508
110242,98647
110179,98583
110195,98549
110050,98516
110071,98483
110010,98539
109988,98447
109777,98341
109556,98230
109391,98189
109333,98130
109100,98061
108855,97899
108665,97777
108592,97762
108461,97737
108367,97672
108173,97532
108035,97438
107976,97464
107911,97514
107825,97404
107672,97405
107601,97263
107535,97336
107549,97310
107438,97261
107404,97255
107239,97162
107303,97229
107301,97228
107297,97246
107203,97171
107120,97142
107156,97129
107224,97262
107172,97198
107177,97205
107101,97100
107137,97190
107254,97254
107200,97186
107214,97243
107077,97168
107202,97259
107289,97303
107248,97270
107286,97275
107186,97215
107333,97278
107406,97327
107375,97369
107397,97301
107325,97295
107488,97343
107615,97395
107567,97422
107650,97421
107544,97419
107758,97515
107793,97594
107867,97527
107877,97553
107871,97548
108040,97607
108099,97704
108137,97659
108144,97695
108120,97643
108224,97717
108294,97781
108295,97742
108238,97705
108171,97613
108310,97771
108358,97739
108289,97769
108290,97689
108171,97696
108347,97741
108314,97790
108253,97722
108246,97732
108190,97649
108324,97752
108266,97776
108243,97686
108228,97697
108174,97597
108263,97659
108330,97733
108239,97718
108269,97704
108175,97606
108305,97742
108342,97727
108351,97718
108308,97680
108291,97645
108414,97722
108466,97835
108476,97795
108447,97780
108392,97707
108537,97850
108645,97881
108556,97856
108573,97853
108591,97790
108794,97936
108767,97991
108849,97950
108805,97947
108799,97922
108968,97996
109069,98087
109012,98025
109059,98011
108995,98039
109172,98159
109223,98155
109219,98123
109214,98144
109237,98107
109332,98183
109392,98274
109411,98217
109429,98207
109403,98172
109559,98345
109632,98307
109577,98324
109601,98283
109613,98265
109751,98425
109832,98392
109805,98438
109821,98384
109761,98404
109970,98525
109968,98513
110024,98478
110002,98438
109965,98526
110145,98573
110144,98610
110176,98576
110138,98530
110139,98517
110248,98634
110393,98663
110329,98641
110282,98618
110370,98633
110459,98734
110518,98690
110460,98715
110514,98678
110457,98696
110634,98769
110670,98799
110571,98760
110590,98700
110505,98674
110584,98776
110478,98713
110379,98560
110123,98489
109965,98374
109785,98345
109595,98215
109335,98093
109064,97931
108833,97880
108761,97852
108563,97789
108434,97665
108266,97528
108141,97559
108135,97557
107991,97528
107923,97420
107761,97326
107699,97343
107677,97408
107656,97311
107540,97319
107410,97232
107389,97183
107454,97315
107406,97228
107353,97191
107315,97148
107301,97226
107338,97301
107329,97222
107309,97247
107281,97140
107323,97207
107432,97316
107370,97300
107325,97262
107345,97184
107356,97298
107513,97345
107481,97322
107460,97282
107431,97271
107475,97332
107579,97381
107605,97407
107597,97415
107524,97358
107654,97386
107722,97496
107756,97497
107808,97444
107803,97412
107846,97510
108051,97621
108029,97637
108063,97625
108055,97568
108243,97698
108358,97753
108341,97761
108323,97750
108284,97694
108469,97806
108549,97890
108503,97839
108545,97782
108479,97753
108520,97774
108590,97891
108587,97804
108562,97786
108504,97761
108554,97835
108588,97847
108517,97821
108571,97804
108445,97729
108476,97752
108543,97811
108527,97781
108491,97790
108364,97708
108507,97776
108499,97813
108516,97793
108471,97761
108342,97708
108501,97802
108543,97791
108562,97818
108514,97795
108490,97698
108556,97801
108661,97887
108629,97879
108660,97812
108590,97816
108762,97862
108795,97914
108831,97947
108832,97957
108757,97865
108925,97996
109025,98031
109034,97995
109066,98037
108960,97970
109127,98044
109247,98110
109217,98091
109170,98094
109154,98068
109266,98115
109362,98190
109298,98176
109338,98171
109254,98104
109441,98182
109505,98286
109482,98186
109506,98245
109425,98187
109543,98250
109701,98308
109624,98320
109622,98308
109584,98230
109734,98377
109791,98411
109770,98329
109822,98351
109785,98353
109890,98434
110016,98491
109958,98435
110021,98420
109946,98401
110139,98543
110160,98561
110156,98530
110242,98524
110143,98538
110348,98621
110365,98659
110454,98617
110439,98623
110400,98642
110552,98747
110615,98732
110607,98741
110561,98701
110571,98671
110728,98813
110747,98838
110716,98797
110639,98719
110644,98762
110685,98794
110708,98767
110625,98695
110418,98572
110228,98470
110183,98537
109927,98403
109723,98252
109390,98100
109174,97967
108994,97945
108896,97899
108645,97768
108466,97633
108298,97557
108290,97635
108218,97534
108081,97521
107905,97397
107882,97334
107840,97371
107815,97438
107735,97303
107587,97289
107523,97234
107632,97299
107593,97308
107506,97266
107470,97201
107377,97180
107487,97320
107466,97290
107428,97234
107384,97211
107393,97222
107475,97249
107522,97305
107460,97293
107415,97261
107482,97251
107553,97337
107636,97395
107562,97377
107547,97294
107570,97302
107691,97443
107767,97398
107716,97464
107667,97391
107758,97411
107898,97531
107898,97537
107911,97532
107907,97550
108023,97514
108178,97640
108264,97707
108227,97675
108261,97626
108313,97738
108517,97810
108570,97856
108551,97827
108578,97822
108625,97830
108723,97953
108727,97908
108784,97916
108716,97848
108727,97899
108859,97986
108812,97896
108819,97879
108727,97856
108707,97884
108850,97932
108760,97945
108758,97867
108670,97812
108673,97834
108784,97927
108697,97824
108677,97858
108615,97743
108604,97842
