ir,red
107247,97715
107277,97712
107247,97723
107304,97713
107302,97717
107304,97742
107316,97751
107327,97749
107321,97733
107339,97735
107285,97722
107296,97743
107334,97742
107318,97709
107319,97713
107318,97729
107300,97708
107333,97745
107310,97714
107307,97735
107334,97721
107344,97754
107330,97746
107382,97731
107384,97751
107471,97782
107506,97807
107520,97784
107520,97826
107602,97832
107616,97842
107667,97853
107686,97866
107735,97903
107750,97885
107768,97908
107863,97902
107844,97928
107890,97942
107934,97944
107952,97970
108005,97989
108043,98030
108088,98025
108092,98020
108141,98030
108175,98028
108232,98033
108220,98081
108266,98111
108318,98106
108351,98130
108338,98112
108405,98140
108423,98146
108464,98165
108486,98169
108525,98192
108572,98184
108561,98170
108600,98236
108603,98226
108645,98227
108671,98227
108704,98241
108680,98253
108734,98247
108788,98283
108796,98280
108783,98284
108827,98297
108863,98281
108870,98321
108869,98328
108892,98283
108883,98323
108945,98341
108942,98361
108975,98356
108974,98326
108992,98364
109005,98356
109032,98337
109034,98372
109071,98381
109076,98356
109090,98380
109083,98389
109127,98392
109160,98426
109166,98411
109187,98423
109205,98421
109244,98428
109273,98450
109308,98455
109304,98470
109349,98471
109372,98491
109410,98478
109386,98506
109437,98503
109470,98520
109460,98508
109484,98541
109492,98535
109457,98494
109455,98515
109398,98473
109304,98470
109197,98400
109038,98344
108898,98261
108702,98176
108536,98122
108338,98044
108177,97991
107987,97893
107850,97820
107658,97755
107494,97705
107316,97668
106675,97400
106566,97341
106456,97322
106383,97311
106298,97277
106259,97250
106188,97224
106153,97217
106105,97233
106089,97198
106076,97192
106052,97206
106049,97191
106037,97190
106017,97199
106041,97204
106026,97188
106050,97209
106046,97212
106057,97220
106068,97236
106070,97223
106116,97208
106144,97247
106107,97242
106150,97243
106147,97251
106146,97248
106145,97251
106156,97239
106189,97266
106175,97259
106205,97278
106198,97275
106237,97290
106260,97286
106256,97291
106301,97306
106355,97347
106377,97334
106394,97360
106464,97376
106495,97430
106519,97402
106597,97421
106624,97452
106647,97456
106726,97477
106734,97486
106745,97484
106806,97477
106765,97521
106800,97523
106846,97515
106826,97526
106874,97523
106846,97551
106845,97528
106846,97520
106823,97535
106846,97510
106847,97518
106850,97510
106840,97517
106830,97520
106855,97520
106857,97529
106840,97525
106849,97526
106848,97513
106829,97524
106853,97511
106842,97536
106862,97519
106860,97521
106894,97542
106892,97543
106898,97534
106944,97565
106943,97562
106961,97542
106992,97565
106989,97582
107021,97579
107058,97617
107072,97612
107090,97617
107126,97616
107163,97634
107178,97641
107203,97657
107247,97679
107268,97656
107310,97718
107344,97706
107327,97727
107377,97736
107407,97761
107460,97737
107484,97771
107492,97782
107562,97838
107581,97819
107608,97831
107636,97841
107673,97863
107669,97850
107722,97852
107745,97882
107766,97893
107819,97888
107840,97913
107869,97923
107897,97919
107900,97921
107937,97941
107964,97957
107991,97956
108030,97956
108049,97970
108063,97982
108072,97979
108112,98024
108097,98018
108118,98002
108147,98004
108147,98024
108192,98033
108211,98027
108217,98041
108212,98038
108247,98051
108225,98049
108265,98094
108290,98071
108294,98073
108311,98104
108342,98082
108369,98105
108401,98108
108388,98123
108415,98120
108452,98141
108450,98124
108497,98152
108509,98181
108512,98172
108548,98172
108573,98188
108596,98210
108576,98195
108640,98204
108660,98218
108658,98208
108698,98233
108659,98228
108640,98212
108578,98185
108551,98160
108453,98118
108324,98054
108223,98029
108094,97948
107926,97882
107825,97845
107640,97789
107476,97733
107304,97634
107181,97599
107006,97545
106842,97473
106733,97437
106610,97365
106489,97324
106362,97268
106257,97258
106155,97181
106066,97174
106005,97145
105916,97127
105883,97117
105821,97100
105808,97074
105766,97075
105728,97065
105725,97091
105701,97043
105721,97039
105688,97066
105718,97073
105733,97068
105737,97082
105767,97087
105762,97105
105756,97106
105816,97103
105804,97103
105819,97104
105854,97100
105863,97109
105878,97105
105925,97137
105920,97150
105958,97156
105941,97153
105962,97172
105978,97171
106001,97206
106029,97202
106052,97216
106074,97196
106097,97228
106147,97234
106187,97260
106240,97276
106264,97293
106325,97329
106375,97318
106438,97364
106494,97369
106511,97381
106567,97406
106577,97415
106629,97431
106677,97460
106691,97485
106715,97455
106694,97461
106721,97446
106732,97468
106741,97487
106762,97469
106783,97462
106770,97484
106767,97465
106790,97467
106776,97495
106778,97476
106777,97481
106759,97487
106798,97507
106794,97489
106824,97492
106769,97481
106806,97485
106839,97493
106813,97490
106835,97503
106852,97489
106844,97512
106901,97529
106901,97520
106893,97534
106924,97554
106944,97532
106989,97552
107011,97579
107053,97574
107078,97564
107104,97605
107103,97610
107157,97608
107195,97631
107212,97648
107249,97668
107275,97672
107311,97700
107376,97732
107375,97719
107423,97727
107463,97747
107506,97772
107538,97767
107567,97786
107628,97817
107652,97829
107666,97818
107710,97840
107735,97875
107772,97875
107822,97879
107830,97893
107887,97915
107886,97901
107955,97935
107962,97954
108018,97958
108032,97973
108074,97966
108081,97979
108125,98011
108148,98010
108177,98026
108216,98051
108247,98031
108277,98072
108298,98055
108324,98072
108342,98082
108375,98106
108378,98115
108407,98105
108455,98119
108455,98141
108502,98119
108505,98152
108516,98146
108559,98152
108562,98142
108598,98178
108600,98177
108624,98177
108647,98187
108651,98210
108649,98201
108711,98201
108728,98216
108780,98245
108758,98250
108773,98246
108796,98252
108813,98258
108839,98268
108882,98266
108875,98274
108918,98312
108943,98309
108939,98318
108988,98308
109005,98332
109044,98346
109063,98352
109089,98367
109147,98387
109135,98392
109202,98381
109221,98426
109228,98409
109284,98428
109323,98443
109352,98474
109399,98481
109391,98483
109454,98518
109450,98511
109478,98527
109501,98518
109522,98543
109519,98539
109540,98513
109476,98498
109418,98484
109347,98456
109214,98376
109025,98295
108836,98233
108634,98130
108454,98049
108282,97992
108056,97915
107914,97845
107735,97775
107538,97699
107351,97611
107221,97559
107046,97496
106887,97458
106734,97379
106635,97316
106486,97310
106403,97275
106304,97216
106221,97209
106120,97166
106096,97158
106003,97148
105971,97138
105914,97102
105883,97106
105877,97100
105867,97099
105831,97096
105854,97099
105843,97105
105811,97095
105838,97118
105843,97097
105837,97112
105830,97107
105862,97132
105849,97124
105869,97105
105853,97128
105858,97129
105878,97128
105876,97107
105895,97102
105871,97110
105861,97125
105893,97168
105827,97142
105882,97135
105909,97133
105899,97133
105908,97161
105939,97158
105961,97148
106011,97177
106011,97203
106026,97206
106108,97234
106111,97235
106189,97249
106198,97294
106267,97299
106281,97325
106329,97321
106341,97362
106400,97367
106407,97369
106444,97377
106440,97382
106483,97363
106489,97381
106475,97373
106509,97380
106483,97391
106536,97419
106513,97396
106515,97396
106484,97387
106511,97387
106487,97407
106496,97398
106503,97385
106505,97412
106501,97400
106506,97385
106485,97387
106510,97382
106509,97397
106522,97419
106539,97433
106577,97390
106593,97424
106581,97417
106595,97437
106634,97417
106636,97459
106663,97441
106703,97464
106694,97483
106745,97515
106778,97492
106795,97512
106813,97505
106860,97538
106894,97530
106913,97549
106918,97552
106970,97581
106983,97581
107031,97600
107079,97613
107105,97614
107127,97646
107174,97667
107181,97679
107251,97692
107270,97697
107322,97710
107341,97736
107354,97722
107402,97752
107461,97746
107464,97789
107489,97790
107518,97800
107560,97790
107604,97829
107624,97814
107643,97836
107669,97846
107713,97863
107720,97881
107764,97865
107780,97892
107794,97903
107835,97896
107883,97912
107875,97925
107924,97936
107911,97971
107941,97938
107981,97953
107997,97981
107995,97982
108032,97990
108057,97988
108074,97978
108116,98015
108104,98011
108156,98000
108142,98032
108198,98033
108206,98050
108229,98042
108233,98053
108260,98072
108260,98077
108298,98080
108326,98086
108349,98097
108370,98121
108387,98138
108418,98146
108469,98115
108465,98144
108464,98151
108539,98166
108561,98155
108594,98211
108645,98252
108642,98203
108681,98201
108683,98252
108717,98261
108733,98257
108763,98271
108784,98257
108801,98277
108815,98292
108806,98257
108729,98243
108720,98211
108614,98204
108477,98127
108376,98081
108225,98015
108084,97942
107915,97890
107760,97815
107598,97770
107441,97706
107258,97622
107095,97551
106937,97499
106792,97448
106678,97364
106511,97353
106382,97297
106278,97255
106187,97219
106089,97181
106007,97136
105923,97137
105865,97103
105814,97103
105762,97053
105722,97070
105691,97037
105700,97026
105648,97054
105644,97035
105625,97056
105656,97047
105656,97071
105646,97064
105668,97052
105691,97071
105663,97047
105705,97054
105704,97076
105700,97072
105699,97111
105700,97070
105753,97107
105734,97082
105743,97107
105740,97104
105764,97107
105779,97131
105792,97122
105801,97131
105786,97109
105839,97140
105846,97147
105864,97134
105883,97171
105934,97177
105948,97214
105994,97185
106033,97256
106105,97259
106141,97277
106206,97298
106251,97327
106289,97346
106317,97344
106369,97366
106438,97375
106436,97414
106433,97405
106494,97427
106509,97430
106528,97432
106561,97426
106580,97447
106553,97461
106586,97420
106597,97453
106614,97441
106609,97454
106598,97462
106602,97427
106625,97457
106588,97474
106615,97445
106615,97469
106634,97424
106631,97457
106612,97468
106614,97457
106609,97467
106634,97474
106632,97470
106679,97477
106635,97491
106683,97479
106731,97504
106718,97482
106736,97510
106728,97503
106768,97504
106784,97535
106836,97562
106827,97539
106873,97553
106908,97588
106924,97568
106947,97618
106977,97619
106985,97610
107038,97633
107079,97637
107109,97661
107121,97658
107160,97676
107195,97684
107228,97709
107264,97718
107259,97709
107337,97757
107364,97751
107400,97766
107425,97763
107453,97800
107488,97819
107532,97813
107566,97829
107577,97857
107614,97839
107640,97853
107679,97870
107717,97897
107715,97913
107787,97918
107795,97923
107786,97938
107871,97952
107855,97981
107900,97953
107933,97979
107939,97979
107978,97995
107995,98002
108062,98025
108043,98031
108088,98024
108096,98056
108129,98032
108147,98076
108176,98059
108195,98068
108208,98091
108216,98082
108235,98081
108251,98093
108281,98102
108303,98118
108288,98128
108339,98118
108356,98146
108335,98138
108372,98137
108387,98155
108394,98157
108425,98155
108414,98163
108452,98149
108457,98167
108497,98185
108459,98200
108513,98203
108532,98206
108562,98207
108559,98226
108599,98230
108602,98242
108660,98239
108676,98284
108696,98281
108719,98286
108739,98288
108811,98311
108810,98312
108837,98330
108872,98347
108919,98336
108908,98377
108954,98359
108983,98395
109006,98419
109031,98404
109055,98421
109080,98416
109067,98423
109093,98411
109061,98412
109029,98405
109015,98366
108870,98340
108788,98283
108642,98225
108460,98154
108297,98063
108126,98004
107962,97938
107786,97858
107658,97810
107464,97741
107314,97677
107161,97609
107008,97568
106883,97511
106737,97450
106588,97421
106497,97376
106372,97359
106310,97294
106196,97287
106083,97254
106016,97228
106013,97205
105997,97184
105936,97212
105908,97189
105894,97168
105834,97173
105858,97184
105850,97159
105883,97176
105893,97169
105878,97168
105911,97202
105921,97204
105923,97217
105956,97220
105942,97237
105963,97225
106016,97233
106009,97246
106064,97261
106051,97257
106092,97297
106127,97298
106132,97340
106187,97298
106185,97316
106226,97329
106254,97339
106302,97354
106353,97395
106389,97413
106448,97430
106490,97448
106575,97478
106600,97498
106671,97528
106718,97543
106761,97547
106813,97588
106836,97581
106848,97623
106910,97614
106919,97622
106924,97638
106941,97631
106960,97651
106968,97633
106958,97634
106941,97641
106928,97636
106945,97652
106936,97603
106958,97628
106899,97618
106920,97637
106910,97615
106926,97626
