ir,red
110270,98703
110238,98696
110287,98746
110446,98866
110440,98830
110387,98781
110349,98703
110456,98851
110586,98849
110521,98827
110570,98863
110479,98746
110547,98889
110669,98904
110648,98880
110668,98896
110615,98861
110695,98954
110824,99035
110856,98982
110819,98984
110731,98905
110889,99000
110960,99023
110958,99064
110936,99019
110921,98958
111038,99076
111140,99095
111030,99105
111052,99050
110966,99019
111038,99037
111138,99074
111001,99071
110963,98976
110735,98905
110795,98890
110706,98925
110512,98789
110382,98699
110147,98560
110133,98645
110070,98566
109880,98529
109717,98412
109576,98293
109571,98373
109553,98329
109329,98285
109235,98159
109086,98076
109070,98164
109093,98132
108968,98107
108920,98017
108764,97967
108807,98015
108786,98059
108750,97970
108663,97979
108548,97845
108680,97983
108627,98014
108647,97971
108555,97947
108466,97874
108630,97986
108620,97974
108641,97938
108630,97949
108525,97920
108679,97966
108639,98004
108691,97982
108653,97990
108556,97904
108703,98028
108715,98034
108754,98039
108714,98017
108612,97924
108781,98077
108863,98055
108831,98092
108843,98001
108789,98029
108960,98138
108989,98129
109020,98166
109029,98141
108979,98096
109187,98207
109173,98246
109209,98189
109220,98188
109151,98217
109253,98273
109373,98278
109367,98293
109325,98221
109260,98239
109372,98308
109405,98327
109410,98270
109375,98278
109307,98181
109399,98353
109455,98304
109352,98324
109305,98219
109268,98225
109418,98338
109373,98285
109415,98290
109326,98230
109276,98234
109422,98331
109451,98318
109426,98278
109351,98244
109263,98223
109435,98293
109479,98359
109405,98314
109420,98261
109369,98233
109547,98349
109531,98354
109538,98333
109520,98321
109467,98296
109623,98437
109647,98394
109644,98413
109566,98370
109614,98358
109696,98469
109807,98473
109723,98434
109777,98425
109737,98442
109867,98531
109928,98594
109926,98479
109831,98510
109887,98469
110078,98615
110096,98643
110046,98570
109989,98519
110044,98591
110162,98631
110176,98645
110225,98657
110161,98621
110176,98611
110284,98705
110328,98695
110359,98692
110241,98650
110349,98676
110409,98783
110456,98812
110450,98749
110435,98744
110437,98735
110617,98850
110596,98833
110537,98807
110549,98737
110618,98839
110682,98918
110698,98879
110744,98885
110680,98814
110730,98900
110777,98945
110908,98955
110792,98934
110794,98843
110849,98886
110962,99001
110963,99029
110956,98941
110946,98946
110968,98998
111071,99090
111080,99019
111138,99052
111038,99006
111128,99074
111257,99145
111233,99098
111198,99103
111193,99009
111284,99114
111340,99213
111359,99137
111272,99102
111259,99052
111346,99143
111361,99120
111314,99097
111188,99091
111052,98971
110961,98981
110930,98990
110860,98872
110628,98824
110454,98639
110372,98700
110321,98610
110142,98582
110041,98491
109788,98370
109773,98412
109762,98372
109597,98315
109491,98249
109287,98154
109299,98170
109321,98175
109261,98126
109140,98115
108946,97984
109074,98076
109050,98128
109017,98064
108910,98038
108850,97938
108939,98060
108911,98061
108940,98071
108839,98011
108727,97930
108925,98024
108934,98111
108932,98030
108864,98046
108800,97907
108927,98030
109012,98115
108952,98078
108929,98052
108892,97993
109001,98096
109065,98155
108982,98117
109005,98080
108961,98039
109043,98132
109151,98185
109134,98124
109147,98152
109082,98077
109241,98244
109305,98212
109311,98278
109330,98260
109224,98170
109429,98269
109474,98386
109452,98280
109485,98343
109420,98264
109520,98355
109596,98429
109570,98357
109538,98368
109441,98289
109599,98383
109594,98431
109539,98350
109569,98320
109455,98267
109557,98305
109610,98429
109582,98356
109506,98346
109416,98241
109551,98404
109601,98350
109514,98342
109522,98349
109401,98219
109499,98359
109556,98335
109504,98375
109488,98283
109428,98269
109519,98374
109582,98336
109527,98380
109501,98301
109466,98301
109578,98380
109599,98373
109648,98379
109575,98318
109575,98327
109714,98435
109687,98422
109692,98433
109723,98395
109638,98397
109868,98450
109935,98519
109881,98524
109876,98444
109784,98468
109972,98500
110023,98617
110001,98558
109967,98507
109940,98503
110150,98614
110126,98648
110167,98619
110095,98581
110121,98546
110247,98653
110342,98723
110279,98706
110254,98600
110261,98595
110433,98735
110429,98763
110404,98731
110409,98726
110400,98672
110575,98755
110623,98842
110549,98814
110545,98732
110581,98795
110708,98809
110787,98862
110767,98897
110740,98811
110707,98851
110853,98866
110891,98985
110880,98935
110890,98852
110911,98882
111037,98999
111085,98992
111065,99030
111041,98991
111117,98975
111222,99102
111347,99101
111265,99117
111312,99034
111323,99096
111392,99181
111466,99202
111460,99117
111427,99121
111438,99094
111605,99194
111630,99285
111616,99181
111579,99213
111617,99159
111719,99315
111726,99321
111672,99238
111665,99204
111630,99233
111661,99256
111630,99213
111504,99168
111292,99034
111171,98989
111176,98984
110963,98906
110804,98759
110558,98676
110387,98598
110298,98611
110232,98523
110018,98482
109858,98296
109798,98320
109709,98358
109659,98287
109468,98188
109362,98097
109269,98135
109327,98130
109206,98119
109108,98043
109030,97935
109021,98017
109041,98038
109036,97992
108942,97960
108854,97914
108859,97979
108961,97992
108859,98004
108815,97971
108794,97908
108856,97917
108918,98038
108891,97965
108884,97991
108776,97926
108866,97945
108929,98019
108942,98018
108874,97994
108812,97933
108888,98015
108957,98043
108925,98035
108977,98011
108843,97996
108995,98033
109040,98124
109015,98065
109079,98058
109012,98003
109127,98095
109257,98230
109222,98153
109203,98160
109223,98095
109350,98182
109407,98298
109434,98218
109444,98265
109319,98204
109469,98240
109539,98361
109520,98256
109471,98298
109361,98191
109533,98306
109564,98294
109519,98327
109481,98257
109378,98208
109528,98271
109581,98350
109460,98283
109489,98255
109388,98175
109433,98235
109569,98324
109438,98268
109427,98214
109365,98194
109431,98249
109494,98294
109434,98220
109429,98255
109303,98141
109446,98288
109484,98262
109463,98226
109471,98271
109359,98161
109487,98283
109582,98301
109530,98305
109536,98254
109425,98235
109596,98344
109618,98364
109648,98311
109625,98317
109577,98265
109754,98360
109790,98411
109738,98377
109775,98362
109733,98348
109873,98400
109919,98540
109915,98423
109954,98428
109884,98439
110043,98539
110079,98514
110084,98586
110047,98545
110019,98491
110196,98624
110238,98608
110205,98636
110206,98557
110221,98550
110366,98680
110366,98696
110341,98640
110370,98672
110314,98608
110451,98712
110486,98759
110520,98687
110498,98716
110461,98644
110546,98772
110608,98778
110617,98794
110575,98742
110546,98709
110646,98803
110771,98842
110701,98805
110736,98790
110665,98778
110824,98883
110833,98865
110818,98901
110763,98798
110818,98811
110875,98934
110950,98902
110895,98923
110892,98863
110869,98844
110993,98942
111004,98988
111058,98955
110994,98878
111017,98875
111149,98968
111122,99051
111137,98966
111074,98979
111083,98942
111181,99053
111141,99037
111143,98994
111105,98943
110999,98910
111086,98998
111057,98941
110942,98885
110732,98789
110657,98721
110579,98768
110489,98724
110250,98607
110090,98435
109984,98407
109888,98434
109815,98407
109660,98335
109462,98208
109350,98090
109349,98209
109291,98098
109115,98067
108989,97939
108886,97944
108932,97990
108814,97933
108772,97885
108590,97821
108522,97834
108567,97854
108620,97848
108490,97815
108429,97735
108389,97761
108442,97812
108435,97775
108430,97762
108326,97722
108324,97773
108435,97829
108412,97830
108413,97752
108327,97742
108283,97756
108410,97848
108410,97770
108363,97783
108328,97694
108354,97727
108489,97864
108457,97819
108452,97819
108402,97704
108436,97806
108468,97856
108550,97878
108491,97826
108507,97778
108611,97846
108689,97946
108667,97920
108728,97893
108682,97852
108771,97915
108866,97984
108855,98004
108822,97979
108746,97926
108886,97965
108918,98068
108955,98044
108897,97988
108863,97889
108886,98023
109025,98026
108959,98064
108957,98028
108791,97955
108915,98039
108987,98007
108988,98043
108925,97987
108798,97932
108907,97964
109045,98074
108960,98023
108911,97986
108841,97943
108939,98010
108967,98032
108953,98010
108960,97962
108865,97900
108977,98030
109052,98013
109019,98063
109044,98001
108907,97952
109025,98028
109106,98122
109119,98089
109056,98068
109022,97984
109157,98132
109213,98123
109236,98155
109258,98127
109146,98086
109314,98146
109405,98210
109385,98161
109375,98217
109327,98134
109419,98199
109490,98255
109553,98269
109535,98247
109453,98184
109584,98257
109685,98347
109698,98369
109641,98289
109589,98258
109704,98334
109770,98397
109807,98369
109770,98327
109741,98320
109824,98352
109890,98467
109907,98444
109857,98396
109785,98327
109973,98472
110010,98520
109964,98478
109944,98465
109917,98358
110037,98512
110109,98497
110052,98510
110092,98492
109985,98412
110160,98524
110181,98545
110156,98576
110147,98483
110104,98492
110269,98591
110264,98607
110278,98543
110292,98576
110203,98571
110334,98586
110406,98647
110431,98615
110391,98590
110384,98581
110496,98659
110599,98754
110579,98705
110519,98702
110499,98635
110676,98779
110683,98819
