ir,red
110830,99414
110860,99436
110892,99451
110925,99442
110946,99472
111015,99452
110992,99469
111039,99512
111032,99507
111107,99487
111100,99533
111129,99544
111167,99527
111145,99533
111179,99550
111219,99541
111271,99575
111260,99561
111315,99565
111330,99619
111321,99597
111383,99613
111394,99606
111474,99632
111487,99654
111467,99646
111485,99649
111502,99637
111452,99630
111442,99625
111367,99574
111312,99565
111172,99496
111094,99478
110941,99408
110827,99357
110686,99312
110544,99258
110437,99181
110250,99146
110136,99084
109973,99024
109798,98966
109676,98936
109570,98863
109442,98809
109304,98788
109199,98751
109124,98697
109041,98669
108936,98631
108890,98601
108839,98605
108797,98582
108763,98569
108737,98542
108707,98563
108689,98543
108688,98543
108697,98528
108713,98560
108706,98547
108728,98565
108749,98592
108769,98597
108766,98590
108794,98591
108823,98578
108852,98602
108838,98634
108882,98644
108918,98650
108946,98640
108970,98658
108961,98701
108948,98684
109014,98674
109038,98672
109028,98687
109064,98699
109091,98690
109094,98711
109116,98735
109162,98728
109173,98747
109210,98757
109239,98781
109301,98790
109312,98810
109364,98820
109423,98843
109447,98853
109504,98886
109514,98893
109594,98881
109568,98935
109611,98912
109675,98932
109653,98927
109669,98955
109679,98934
109693,98952
109690,98937
109696,98937
109673,98938
109700,98927
109686,98942
109698,98940
109672,98910
109675,98931
109652,98904
109634,98900
109645,98893
109638,98927
109630,98901
109634,98897
109619,98903
109635,98898
109611,98911
109625,98913
109616,98910
109644,98934
109651,98896
109673,98929
109662,98915
109694,98941
109687,98923
109726,98935
109738,98943
109719,98932
109752,98931
109770,98959
109790,98954
109806,98971
109827,98999
109844,98982
109889,98989
109881,98986
109924,99031
109948,99007
109977,99042
109993,99041
110011,99048
110002,99063
110049,99041
110060,99093
110097,99092
110134,99082
110116,99112
110178,99113
110201,99104
110208,99115
110219,99140
110274,99151
110285,99176
110297,99175
110318,99161
110349,99177
110367,99198
110376,99187
110405,99194
110463,99220
110488,99241
110473,99253
110534,99249
110565,99269
110575,99277
110590,99274
110632,99305
110628,99309
110663,99308
110709,99324
110721,99323
110757,99347
110782,99360
110788,99352
110793,99345
110836,99356
110831,99358
110917,99377
110894,99372
110929,99382
110943,99411
110971,99389
110969,99396
110956,99403
110968,99391
110956,99400
110888,99365
110843,99359
110759,99298
110648,99261
110543,99204
110415,99155
110275,99125
110148,99063
110012,99006
109886,98940
109740,98887
109567,98821
109430,98793
109287,98718
109175,98668
109068,98642
108940,98583
108820,98556
108711,98492
108628,98462
108572,98420
108501,98432
108429,98397
108369,98366
108350,98357
108336,98321
108292,98349
108323,98348
108300,98348
108274,98338
108263,98348
108278,98328
108307,98343
108329,98362
108344,98369
108347,98364
108343,98381
108365,98406
108403,98400
108401,98417
108415,98411
108452,98420
108457,98414
108488,98432
108477,98448
108535,98466
108522,98460
108546,98460
108550,98479
108537,98474
108594,98495
108627,98455
108646,98506
108685,98520
108701,98526
108745,98555
108775,98538
108805,98593
108868,98600
108908,98608
108913,98612
108980,98637
108993,98650
109042,98654
109075,98674
109067,98680
109111,98687
109118,98690
109128,98673
109136,98683
109138,98689
109136,98685
109127,98688
109124,98647
109175,98688
109129,98691
109088,98681
109105,98687
109084,98649
109088,98639
109090,98661
109073,98650
109067,98650
109083,98628
109082,98660
109066,98635
109037,98632
109065,98658
109093,98634
109064,98650
109081,98660
109102,98658
109091,98666
109098,98673
109128,98654
109118,98642
109168,98671
109156,98668
109182,98705
109171,98691
109236,98697
109254,98728
109263,98717
109299,98739
109323,98735
109352,98749
109333,98768
109375,98766
109415,98785
109439,98781
109455,98798
109480,98788
109503,98813
109494,98818
109522,98855
109559,98843
109574,98835
109632,98866
109650,98889
109688,98862
109689,98881
109700,98901
109722,98912
109723,98878
109762,98907
109794,98935
109825,98907
109825,98934
109860,98960
109867,98931
109877,98950
109907,98958
109929,98980
109921,98973
109941,98983
110016,98994
109968,98985
110056,98986
110039,99013
110074,99000
110084,99039
110096,99051
110127,99040
110137,99045
110184,99058
110168,99071
110218,99081
110196,99077
110227,99091
110262,99093
110309,99102
110295,99111
110330,99090
110345,99128
110337,99121
110399,99123
110413,99136
110381,99139
110438,99132
110415,99149
110431,99149
110422,99147
110435,99149
110404,99133
110349,99093
110290,99066
110214,99040
110121,99032
109989,98977
109864,98888
109733,98854
109598,98806
109446,98740
109277,98662
109096,98621
108943,98536
108812,98491
108675,98431
108512,98388
108395,98348
108266,98282
108097,98243
108015,98184
107940,98147
107822,98105
107771,98093
107710,98063
107665,98062
107595,98048
107552,98015
107531,98008
107504,98012
107504,98002
107489,98017
107488,98007
107467,98002
107471,98019
107496,98012
107508,98024
107487,98018
107530,98020
107513,98026
107543,98025
107546,98026
107538,98046
107567,98025
107569,98065
107571,98053
107563,98058
107575,98067
107583,98054
107623,98059
107608,98045
107628,98039
107611,98062
107649,98077
107660,98077
107663,98088
107698,98080
107709,98076
107751,98135
107773,98127
107793,98140
107876,98170
107893,98161
107918,98188
107965,98190
107984,98181
108038,98237
108039,98220
108077,98224
108029,98232
108106,98244
108102,98238
108095,98246
108098,98227
108091,98252
108106,98262
108104,98235
108086,98248
108065,98246
108105,98214
108089,98234
108049,98219
108053,98218
108067,98215
108039,98210
108060,98194
108074,98180
108004,98198
108012,98199
108030,98200
108006,98196
108029,98201
108049,98212
108052,98170
108052,98175
108067,98186
108055,98213
108076,98213
108096,98224
108122,98216
108162,98241
108165,98219
108185,98263
108186,98274
108232,98287
108257,98285
108261,98289
108292,98297
108324,98316
108343,98325
108396,98352
108395,98356
108438,98340
108469,98366
108518,98364
108520,98380
108556,98396
108549,98405
108592,98423
108603,98412
108643,98450
108685,98440
108705,98461
108748,98469
108761,98491
108814,98489
108831,98498
108848,98535
108857,98525
108920,98520
108935,98538
108966,98555
108991,98564
109000,98561
109058,98567
109069,98581
109044,98599
109139,98625
109148,98596
109151,98623
109182,98632
109209,98655
109222,98633
109243,98662
109265,98691
109302,98666
109306,98675
109333,98669
109352,98664
109369,98712
109390,98713
109390,98718
109432,98716
109454,98742
109452,98739
109455,98741
109506,98754
109538,98745
109547,98786
109545,98778
109582,98773
109608,98799
109603,98786
109675,98805
109635,98816
109692,98836
109701,98819
109757,98861
109776,98837
109795,98829
109790,98889
109798,98884
109828,98887
109849,98893
109865,98907
109874,98903
109934,98899
109924,98920
109922,98881
109941,98913
109906,98901
109877,98887
109818,98862
109758,98824
109653,98799
109578,98743
109445,98689
109308,98662
109150,98577
109008,98517
108847,98462
108714,98413
108543,98349
108375,98261
108265,98248
108109,98171
107934,98130
107865,98072
107696,98035
107615,97974
107500,97935
107416,97917
107347,97893
107236,97857
107224,97824
107164,97826
107091,97784
107067,97803
107089,97793
107064,97781
107023,97803
107024,97780
107066,97810
107053,97795
107006,97777
107064,97820
107050,97836
107081,97832
107075,97819
107092,97837
107097,97839
107122,97832
107134,97843
107110,97871
107152,97872
107115,97843
107155,97854
107142,97871
107157,97877
107174,97855
107189,97860
107196,97871
107196,97882
107211,97885
107220,97906
107249,97884
107285,97921
107311,97924
107348,97931
107368,97958
107424,97951
107471,97985
107507,97996
107555,98015
107551,98045
107603,98047
107619,98051
107684,98088
107673,98064
107706,98098
107742,98082
107725,98083
107712,98096
107738,98082
107744,98081
107748,98073
107736,98065
107698,98064
107715,98082
107700,98072
107717,98066
107651,98054
107685,98075
107668,98062
107669,98064
107659,98051
107630,98058
107619,98052
107631,98046
107625,98042
107656,98041
107649,98054
107648,98055
107645,98063
107633,98046
107655,98005
107671,98042
107680,98039
107673,98045
107697,98065
107703,98080
107736,98097
107728,98076
107788,98089
107803,98120
107794,98110
107840,98136
107834,98117
107878,98120
107903,98168
107924,98152
107953,98164
107967,98184
107974,98164
107997,98193
108020,98189
