107627,97937
107636,97900
107649,97909
107594,97834
107676,97900
107769,97954
107829,97990
107786,97963
107757,97875
107830,97986
107924,98102
107975,98024
107957,98040
107877,97970
107993,98081
108130,98114
108099,98113
108103,98148
108016,98057
108095,98117
108174,98187
108275,98206
108223,98192
108167,98112
108258,98169
108387,98262
108342,98220
108384,98222
108269,98153
108410,98259
108457,98299
108480,98251
108423,98281
108408,98196
108465,98307
108595,98385
108547,98287
108518,98332
108452,98277
108557,98303
108599,98385
108650,98375
108617,98309
108561,98271
108707,98391
108742,98465
108758,98391
108699,98364
108674,98342
108812,98445
108891,98464
108869,98447
108831,98466
108792,98410
108884,98466
109000,98547
108978,98477
108947,98487
108929,98464
109048,98507
109127,98593
109104,98600
109110,98507
108981,98489
109149,98618
109195,98662
109114,98614
109178,98571
109069,98461
109143,98595
109128,98604
109086,98528
108939,98438
108784,98356
108804,98374
108664,98356
108475,98247
108315,98100
108067,97999
108023,98053
107922,97939
107651,97847
107527,97777
107282,97593
107261,97711
107180,97672
106976,97557
106929,97504
106732,97354
106710,97475
106635,97404
106551,97347
106451,97334
106325,97212
106339,97246
106364,97327
106298,97211
106149,97198
106069,97134
106221,97231
106230,97259
106126,97215
106041,97185
106040,97119
106172,97256
106210,97280
106127,97195
106102,97222
106046,97160
106215,97278
106269,97267
106207,97298
106233,97238
106152,97233
106340,97311
106358,97375
106346,97301
106373,97318
106338,97346
106550,97382
106544,97464
106559,97393
106530,97366
106572,97434
106741,97484
106815,97532
106853,97535
106812,97545
106825,97523
107034,97651
107100,97642
107065,97684
107134,97641
107126,97661
107229,97716
107250,97730
107272,97773
107240,97654
107225,97722
107310,97790
107366,97820
107284,97734
107226,97711
107286,97662
107297,97748
107327,97791
107261,97697
107200,97665
107246,97701
107316,97706
107319,97747
107275,97730
107187,97647
107196,97686
107265,97683
107259,97744
107286,97705
107164,97636
107201,97651
107264,97770
107289,97767
107308,97690
107170,97650
107205,97669
107347,97771
107366,97799
107317,97718
107243,97699
107297,97702
107431,97781
107409,97796
107393,97791
107376,97706
107398,97804
107579,97896
107601,97848
107554,97874
107515,97796
107607,97878
107669,97920
107760,97927
107743,97930
107680,97845
107720,97978
107889,97990
107844,97975
107884,98029
107862,97921
107950,98034
108009,98079
107992,98095
108070,98071
107974,97974
108090,98084
108116,98191
108195,98158
108145,98114
108073,98099
108209,98137
108287,98229
108311,98173
108245,98167
108224,98132
108316,98217
108426,98252
108355,98226
108399,98195
108293,98202
108470,98218
108537,98314
108520,98254
108534,98279
108445,98250
108611,98277
108593,98365
108646,98379
108616,98306
108574,98267
108699,98399
108779,98380
108752,98431
108803,98398
108671,98327
108859,98447
108908,98434
108868,98473
108936,98457
108824,98407
108975,98500
109043,98536
108972,98482
109032,98516
108927,98415
109015,98557
109131,98545
109060,98512
109009,98545
108902,98440
109044,98554
109059,98529
108901,98453
108830,98422
108647,98331
108617,98279
108439,98293
108304,98187
108073,98039
107897,97924
107787,97895
107614,97895
107502,97748
107288,97630
107056,97573
107067,97579
106943,97540
106794,97482
106653,97404
106516,97264
106436,97314
106436,97362
106257,97198
106169,97202
106072,97111
106072,97149
106046,97202
105968,97102
105867,97088
105726,97041
105851,97124
105884,97106
105734,97063
105721,97030
105602,97014
105769,97082
105753,97037
105722,97037
105675,97037
105676,96989
105782,97088
105843,97154
105767,97119
105802,97095
105770,97037
105871,97140
105925,97208
105943,97119
105853,97134
105877,97140
106022,97199
106101,97226
106003,97214
106074,97230
106070,97179
106162,97291
106282,97363
106241,97305
106244,97335
106314,97314
106406,97357
106413,97407
106479,97425
106444,97392
106506,97399
106640,97528
106620,97546
106630,97466
106578,97389
106558,97430
106716,97521
106639,97513
106616,97506
106615,97457
106619,97427
106645,97535
106719,97493
106618,97479
106549,97466
106553,97424
106628,97507
106632,97465
106568,97479
106551,97386
106495,97424
106607,97501
106592,97435
106582,97414
106516,97369
106491,97414
106568,97500
106594,97444
106547,97433
106470,97359
106547,97413
106592,97432
106575,97462
106559,97447
106542,97364
106623,97469
106743,97465
106650,97517
106696,97489
106635,97409
106732,97499
106805,97600
106828,97499
106816,97562
106787,97453
106875,97544
106963,97648
106962,97581
106962,97658
106937,97593
107000,97620
107162,97700
107148,97691
107138,97662
107070,97619
107168,97687
107296,97809
107298,97760
107244,97734
107252,97703
107330,97751
107412,97883
107400,97788
107410,97789
107340,97760
107424,97866
107560,97875
107490,97856
107558,97846
107481,97790
107562,97897
107642,97900
107670,97927
107630,97942
107585,97872
107658,97946
107786,97966
107775,97987
107754,97973
107693,97914
107818,97969
107908,98007
107866,98043
107846,98001
107806,97970
107956,98009
107986,98109
107973,98104
107979,98030
107898,98002
108085,98160
108144,98124
108103,98142
