ir,red
106493,97217
106513,97242
106468,97176
106497,97142
106387,97098
106457,97152
106487,97226
106502,97169
106414,97153
106399,97089
106514,97197
106549,97240
106461,97201
106500,97150
106351,97120
106534,97230
106583,97259
106505,97214
106562,97183
106443,97142
106627,97240
106674,97330
106636,97273
106584,97259
106555,97234
106708,97250
106725,97339
106781,97289
106770,97296
106672,97225
106833,97357
106850,97387
106875,97375
106833,97312
106823,97305
106952,97425
106997,97398
106999,97423
106932,97386
106909,97367
107080,97454
107112,97504
107105,97511
107057,97434
107038,97427
107189,97532
107196,97543
107211,97495
107134,97518
107153,97450
107210,97541
107333,97617
107255,97580
107251,97496
107236,97508
107303,97613
107411,97660
107355,97558
107365,97578
107336,97580
107477,97589
107468,97696
107496,97638
107423,97649
107441,97596
107544,97649
107618,97720
107541,97729
107562,97650
107503,97666
107671,97731
107667,97745
107629,97721
107630,97733
107586,97647
107700,97806
107730,97812
107733,97759
107668,97753
107616,97706
107789,97842
107777,97771
107725,97807
107662,97742
107623,97669
107667,97769
107636,97699
107468,97655
107322,97519
107234,97481
107163,97467
107073,97502
106861,97297
106702,97261
106536,97147
106526,97178
106337,97146
106186,97057
105984,96968
105898,96892
105813,96913
105794,96849
105615,96806
105406,96731
105351,96671
105321,96717
105330,96707
105153,96611
105044,96532
105055,96516
105027,96582
105029,96576
104913,96478
104854,96439
104863,96480
104926,96510
104892,96570
104909,96497
104799,96466
104812,96516
104990,96565
104982,96548
105009,96513
104926,96484
104945,96565
105118,96647
105114,96657
105128,96607
105146,96610
105204,96653
105273,96700
105312,96727
105400,96707
105286,96683
105415,96732
105484,96755
105567,96874
105621,96801
105581,96807
105650,96874
105853,96961
105839,96942
105860,96980
105811,96945
105972,96975
106060,97059
106110,97099
106090,97048
106115,97004
106185,97097
106264,97096
106233,97159
106198,97135
106176,97033
106286,97102
106346,97182
106299,97152
106307,97156
106198,97055
106274,97167
106317,97144
106283,97183
106334,97105
106174,97086
106294,97117
106292,97127
106288,97165
106290,97101
106184,97061
106215,97124
106329,97162
106259,97114
106218,97117
106157,97013
106242,97084
106264,97137
106258,97101
106307,97118
106191,97050
106244,97127
106362,97201
106346,97198
106317,97125
106230,97070
106371,97225
106475,97229
106448,97259
106453,97174
106341,97184
106505,97272
106523,97318
106498,97276
106568,97274
106477,97191
106623,97325
106719,97335
106664,97363
106717,97298
106630,97278
106759,97387
106845,97455
106840,97437
106827,97407
106780,97312
106941,97460
106984,97515
106959,97426
106965,97463
106945,97384
107082,97481
107101,97560
107148,97533
107081,97520
107068,97481
107159,97517
107229,97581
107267,97605
107200,97583
107188,97507
107318,97648
107344,97619
107345,97664
107369,97628
107291,97572
107414,97690
107479,97735
107443,97705
107484,97656
107437,97652
107515,97722
107571,97809
107621,97762
107589,97703
107574,97714
107650,97818
107761,97863
107728,97785
107732,97824
107676,97733
107835,97862
107863,97850
107833,97890
107832,97840
107710,97802
107872,97905
107906,97951
107882,97866
107775,97861
107750,97761
107782,97808
107770,97860
107654,97752
107452,97676
107259,97544
107224,97626
107187,97523
106918,97451
106811,97361
106574,97249
106595,97230
106453,97171
106243,97170
106142,97035
105916,96973
105905,96957
105864,96987
105676,96873
105509,96787
105432,96748
105423,96756
105338,96786
105295,96708
105113,96634
105042,96606
105139,96664
105073,96673
105038,96623
104985,96589
104922,96580
105039,96639
105014,96689
104975,96629
104959,96552
104875,96591
105035,96621
105052,96648
104984,96666
104945,96635
104983,96579
105052,96719
105159,96738
105120,96723
105093,96709
105058,96641
105194,96782
105273,96745
105193,96771
105191,96728
105235,96751
105384,96831
105423,96837
105413,96834
105384,96844
105422,96838
105603,96893
105653,96964
105624,96959
105640,96939
105731,96934
105881,97049
105867,97081
105862,97068
105902,97033
105904,97022
106062,97165
106100,97112
106044,97162
106043,97091
105998,97088
106191,97183
106188,97141
106120,97170
106094,97107
106082,97121
106199,97158
106208,97202
106146,97174
106124,97115
106127,97138
