ir,red
111841,98944
111801,98921
111776,98918
111874,99015
111996,99039
111957,99024
111913,98956
111872,98930
112055,99080
112015,99064
112005,99077
111873,98956
111840,98916
111907,98958
111734,98890
111640,98827
111393,98675
111255,98614
111162,98581
110983,98519
110809,98394
110529,98285
110370,98198
110258,98183
110203,98155
110037,98010
109799,97923
109708,97888
109691,97934
109608,97864
109531,97790
109406,97713
109306,97694
109322,97759
109343,97727
109300,97689
109156,97653
109108,97601
109193,97659
109201,97697
109126,97661
109081,97586
109118,97627
109140,97721
109195,97696
109196,97683
109087,97651
109188,97657
109248,97710
109306,97786
109341,97750
109195,97702
109209,97717
109404,97791
109450,97819
109384,97791
109370,97775
109385,97763
109569,97851
109593,97865
109537,97883
109546,97799
109592,97846
109763,97951
109764,97995
109791,97920
109776,97938
109898,98064
109998,98090
110021,98080
110081,98124
110036,98051
110096,98148
110183,98179
110300,98177
110212,98184
110195,98167
110228,98213
110351,98227
110387,98212
110341,98257
110262,98130
110286,98207
110396,98242
110387,98208
110331,98262
110233,98117
110306,98219
110404,98253
110353,98204
110297,98186
110246,98126
110244,98182
110347,98246
110296,98176
110283,98206
110203,98140
110258,98149
110332,98271
110322,98181
110286,98219
110201,98153
110296,98203
110456,98273
110437,98288
110402,98215
110333,98231
110485,98263
110565,98368
110494,98357
110585,98322
110479,98313
110658,98393
110716,98457
110745,98456
110711,98382
110706,98384
110835,98495
110911,98480
110867,98536
110908,98532
110832,98415
110978,98508
111093,98606
111095,98568
111020,98584
110973,98527
111161,98599
111258,98636
111221,98677
111210,98587
111194,98611
111374,98674
111457,98767
111421,98748
111414,98696
111356,98686
111532,98719
111601,98797
111600,98814
111591,98794
111525,98731
111647,98835
111780,98875
111727,98866
111763,98882
111658,98773
111843,98961
111910,98920
111895,98956
111888,98945
111802,98910
112031,98970
112111,99027
112099,99023
112092,99055
112066,98949
112181,99099
112302,99125
112266,99137
112342,99088
112205,99077
112414,99202
112431,99237
112428,99204
112473,99176
112383,99127
112523,99213
112590,99291
112580,99259
112502,99167
112470,99140
112553,99235
112456,99223
112366,99157
112252,99002
112006,98973
112024,98940
111852,98903
111583,98768
111439,98631
111160,98440
111027,98549
110928,98381
110686,98298
110501,98205
110286,98077
110206,98142
110181,98094
109968,98029
109874,97918
109715,97854
109808,97895
109732,97915
109623,97826
109466,97768
109441,97759
109524,97827
109480,97854
109380,97802
109395,97710
109268,97728
109353,97790
109414,97786
109404,97743
109362,97693
109273,97717
109444,97766
109456,97799
109368,97809
109365,97718
109399,97759
109493,97836
109534,97856
109504,97839
109444,97780
109517,97776
109638,97906
109668,97947
109612,97873
109640,97847
109660,97902
109808,98019
109827,97978
109881,98033
109807,97968
109904,97996
110071,98145
110097,98188
110086,98123
110098,98118
110134,98086
110258,98175
110370,98248
110312,98179
110262,98199
110277,98164
110388,98297
110388,98320
110357,98216
110297,98135
110318,98237
110435,98278
110396,98290
110301,98216
110279,98159
110275,98147
110299,98279
110352,98213
110252,98221
110225,98128
110173,98163
110255,98231
110289,98185
110260,98190
